TOTAL REGISTERED VOTERS IN EACH POLLING UNIT IN KATSINA STATE AS AT 25/05/2022,,,,,,
,,,,,,
S/N,STATE,LGA,RA,PU,DELIM,TOTAL
5496,KATSINA,MASHI,S/RIJIYA,SABUWAR RIJIYA PRI. SCHOOL,20-27-03-018,03
5497,KATSINA,MASHI,BAMBLE,BAMLE I - K/G S.GOSHI,20-27-04-001,497
5498,KATSINA,MASHI,BAMBLE,BAMLE I - K/G H.BUKU,20-27-04-002,544
5499,KATSINA,MASHI,BAMBLE,KASANKI I - PRI.SCHOOL,20-27-04-003,703
5500,KATSINA,MASHI,BAMBLE,KASANKI II - PRI.SCHOOL,20-27-04-004,719
5501,KATSINA,MASHI,BAMBLE,B/KUKA - PRI.SCHOOL I,20-27-04-005,994
5502,KATSINA,MASHI,BAMBLE,B/KUKA - PRI.SCHOOL II,20-27-04-006,550
5503,KATSINA,MASHI,BAMBLE,KUNTARU - K/G LUSHE,20-27-04-007,714
5504,KATSINA,MASHI,BAMBLE,GINDAWA - K/G IRO,20-27-04-008,493
5505,KATSINA,MASHI,BAMBLE,GINDAWA - K/G MAIKAHO,20-27-04-009,528
5506,KATSINA,MASHI,BAMBLE,KAMARAWA - PRI.SCHOOL,20-27-04-010,633
5507,KATSINA,MASHI,BAMBLE,KAMARAWA II - PRI.SCHOOL,20-27-04-011,488
5508,KATSINA,MASHI,BAMBLE,UNG. BIRI - PRI.SCHOOL,20-27-04-012,522
5509,KATSINA,MASHI,BAMBLE,SABARA - DANKAKI,20-27-04-013,393
5510,KATSINA,MASHI,BAMBLE,HAMIS GABAS/JASUMA,20-27-04-014,585
5511,KATSINA,MASHI,BAMBLE,HAMIS GIDAN BARA,20-27-04-015,482
5512,KATSINA,MASHI,BAMBLE,BIRNIN KUKA TV CENTRE,20-27-04-016,94
5513,KATSINA,MASHI,GALLU,AGALA - K/G BAGE,20-27-05-001,867
5514,KATSINA,MASHI,GALLU,AGALLU I PRI.SCHOOL,20-27-05-002,662
5515,KATSINA,MASHI,GALLU,GUARTA - K/G GYARTA,20-27-05-003,938
5516,KATSINA,MASHI,GALLU,DANFARDU - K/G DANFARDU,20-27-05-004,631
5517,KATSINA,MASHI,GALLU,FARA I - K.G.GARDI,20-27-05-005,625
5518,KATSINA,MASHI,GALLU,FARA II - K.G.FARA,20-27-05-006,816
5519,KATSINA,MASHI,GALLU,GALLU - K/G GALLU,20-27-05-007,391
5520,KATSINA,MASHI,GALLU,SHIRIYA - K/G SHIRIYA,20-27-05-008,552
5521,KATSINA,MASHI,GALLU,CHADDER I PRI.SCHOOL,20-27-05-009,426
5522,KATSINA,MASHI,GALLU,CHADDER II PRI.SCHOOL,20-27-05-010,383
5523,KATSINA,MASHI,GALLU,SHIRIYA ABUJA/PRI.SCHOOL,20-27-05-011,614
5524,KATSINA,MASHI,GALLU,KWANKEWA/K/G AYUDA,20-27-05-012,806
5525,KATSINA,MASHI,GALLU,KWAKUYAWA DISPENSARY,20-27-05-013,00
5526,KATSINA,MASHI,GALLU,GUARTA PRIMARY SCHOOL,20-27-05-014,01
5527,KATSINA,MASHI,GALLU,FARA OPEN SPACE II,20-27-05-015,01
5528,KATSINA,MASHI,GALLU,HORNI,20-27-05-016,00
5529,KATSINA,MASHI,SONKAYA,KAWARE AREWA - PRI.SCHOOL,20-27-06-001,595
5530,KATSINA,MASHI,SONKAYA,KAWARE KUDU - K/G. KAWARE,20-27-06-002,518
5531,KATSINA,MASHI,SONKAYA,SANKAYA KUDU - DISPENSARY,20-27-06-003,755
5532,KATSINA,MASHI,SONKAYA,KOFAI ABUJA PRI.SCHOOL,20-27-06-004,716
5533,KATSINA,MASHI,SONKAYA,MASHANYA - PRI.SCHOOL,20-27-06-005,452
5534,KATSINA,MASHI,SONKAYA,UNG.DUHU - K/G DUHU,20-27-06-006,498
5535,KATSINA,MASHI,SONKAYA,RINIYAL - K.G RINIYAL,20-27-06-007,374
5536,KATSINA,MASHI,SONKAYA,TONA - TASHAR KALGO,20-27-06-008,651
5537,KATSINA,MASHI,SONKAYA,SONKAYA AREWA/PRI.SCHOOL,20-27-06-009,887
5538,KATSINA,MASHI,SONKAYA,S.GARI/PRI.SCHOOL,20-27-06-010,732
5539,KATSINA,MASHI,SONKAYA,SONKAYA TV CENTRE,20-27-06-011,01
5540,KATSINA,MASHI,SONKAYA,SONKAYA SECONDARY SCHOOL,20-27-06-012,02
5541,KATSINA,MASHI,DOGURU 'A',DOGURU II - PRI.SCHOOL,20-27-07-001,1027
5542,KATSINA,MASHI,DOGURU 'A',ISHESHE II - K.G M/UNG,20-27-07-002,353
5543,KATSINA,MASHI,DOGURU 'A',ISHESHE I - K.G M/UNG,20-27-07-003,632
5544,KATSINA,MASHI,DOGURU 'A',BADAURI I - K.G. M/UNG,20-27-07-004,798
5545,KATSINA,MASHI,DOGURU 'A',BADAURI II - K.G. M/UNG,20-27-07-005,438
5546,KATSINA,MASHI,DOGURU 'A',BAGAWA I - K.G. M/UNG,20-27-07-006,430
5547,KATSINA,MASHI,DOGURU 'A',BAGAWA II - K.G. M/UNG,20-27-07-007,694
5548,KATSINA,MASHI,DOGURU 'A',WASHEMI - K.G M/UNGU,20-27-07-008,794
5549,KATSINA,MASHI,DOGURU 'A',JASUMA GARI - PRI.SCHOOL,20-27-07-009,332
5550,KATSINA,MASHI,DOGURU 'A',JASUMA DANKARO K.G M/UNG,20-27-07-010,197
5551,KATSINA,MASHI,DOGURU 'A',BADAURI III K.G M/UNG,20-27-07-011,527
5552,KATSINA,MASHI,DOGURU 'A',FAGEN KALGO - K.G M/UNG,20-27-07-012,371
5553,KATSINA,MASHI,DOGURU 'A',DOGURU I - K/G MAIGARI,20-27-07-013,666
5554,KATSINA,MASHI,DOGURU 'A',DOGURU II HOSPITAL,20-27-07-014,125
5555,KATSINA,MASHI,DOGURU 'A',BADAURI I OPEN SPACE,20-27-07-015,21
5556,KATSINA,MASHI,DOGURU 'A',WASHEMI OPEN SPACE,20-27-07-016,04
5557,KATSINA,MASHI,DOGURU 'B',KINDIGI - K/G MAI UNGU.,20-27-08-001,677
5558,KATSINA,MASHI,DOGURU 'B',DARKIMA I - K/G MAI'UNG,20-27-08-002,782
5559,KATSINA,MASHI,DOGURU 'B',DANLAKO PRI.SCHOOL,20-27-08-003,329
5560,KATSINA,MASHI,DOGURU 'B',DINDIYAL I - K/G M.UNG,20-27-08-004,586
5561,KATSINA,MASHI,DOGURU 'B',DINDIYAL II - PRI.SCHOOL,20-27-08-005,733
5562,KATSINA,MASHI,DOGURU 'B',DANLAKO II - K/G AMINE,20-27-08-006,579
5563,KATSINA,MASHI,DOGURU 'B',DARKIMA DISPENSARY,20-27-08-007,04
5564,KATSINA,MASHI,KARAU,GARO I - K.G MAGAJI,20-27-09-001,773
5565,KATSINA,MASHI,KARAU,GARO II - PRI.SCHOOL,20-27-09-002,851
5566,KATSINA,MASHI,KARAU,BUJEJE I - PRI.SCHOOL,20-27-09-003,696
5567,KATSINA,MASHI,KARAU,BUJEJE II - PRI.SCHOOL,20-27-09-004,529
5568,KATSINA,MASHI,KARAU,SARDAWA I - K.G M/UNG,20-27-09-005,533
5569,KATSINA,MASHI,KARAU,SARDAWA II - K.G A.M. GAZAU,20-27-09-006,635
5570,KATSINA,MASHI,KARAU,AFANAWA/DOKA - UNG.BADOLE,20-27-09-007,526
5571,KATSINA,MASHI,KARAU,LANGO - K.G MAI UNG,20-27-09-008,922
5572,KATSINA,MASHI,KARAU,KARAU SHEKEJI - S/G NASHIRO,20-27-09-009,786
5573,KATSINA,MASHI,KARAU,BULA AREWA I - PRI.SCHOOL,20-27-09-010,526
5574,KATSINA,MASHI,KARAU,BULA AREWA II - PRI.SCHOOL,20-27-09-011,499
5575,KATSINA,MASHI,KARAU,BULA KUDU - K/G DANLADI,20-27-09-012,768
5576,KATSINA,MASHI,KARAU,BULA  - S/G BULA,20-27-09-013,552
5577,KATSINA,MASHI,KARAU,WALOJI - K/G M.UNG,20-27-09-014,382
5578,KATSINA,MASHI,KARAU,TUDU I - K/G MAI UNG ZUBAIRU,20-27-09-015,534
5579,KATSINA,MASHI,KARAU,TUDU II - K/G MAI UNG ZUBAIRU,20-27-09-016,553
5580,KATSINA,MASHI,KARAU,MUGUN DUTSE - MAI UNG ZUBAIRU,20-27-09-017,565
5581,KATSINA,MASHI,KARAU,KARAU BADOLE - AFANAWA,20-27-09-018,402
5582,KATSINA,MASHI,KARAU,KARAU TSABRE/F.MANDA,20-27-09-019,823
5583,KATSINA,MASHI,KARAU,GARO TV CENTRE,20-27-09-020,08
5584,KATSINA,MASHI,KARAU,GARO DISENSARY,20-27-09-021,16
5585,KATSINA,MASHI,KARAU,LANGO KATSINA,20-27-09-022,06
5586,KATSINA,MASHI,KARAU,SABON GARI NA SHIRO,20-27-09-023,00
5587,KATSINA,MASHI,KARAU,BULA ISAR DAWA,20-27-09-024,00
5588,KATSINA,MASHI,KARAU,FILIN MANDA DISPENSARY,20-27-09-025,02
5589,KATSINA,MASHI,TAMILO 'A',TAMILO GABAS - K/G GALADIMA,20-27-10-001,592
5590,KATSINA,MASHI,TAMILO 'A',TAMILO YAMMA - PRI.SCHOOL,20-27-10-002,567
5591,KATSINA,MASHI,TAMILO 'A',M/FASH I - K/G MAI UNG,20-27-10-003,357
5592,KATSINA,MASHI,TAMILO 'A',M/FASH II  - SABON GARA,20-27-10-004,385
5593,KATSINA,MASHI,TAMILO 'A',SAYE DEBE I - PRI. SCHOOL,20-27-10-005,482
5594,KATSINA,MASHI,TAMILO 'A',SAYE DEBE II - PRI. SCHOOL,20-27-10-006,220
5595,KATSINA,MASHI,TAMILO 'A',GUMA I - ADULT CENTRE,20-27-10-007,439
5596,KATSINA,MASHI,TAMILO 'A',GUMA II - ADULT CENTRE,20-27-10-008,304
5597,KATSINA,MASHI,TAMILO 'A',GUMA III - K/G A.YALE,20-27-10-009,368
5598,KATSINA,MASHI,TAMILO 'A',TAMILO I - PRI.SCHOOL,20-27-10-010,1176
5599,KATSINA,MASHI,TAMILO 'A',TAMILO A HOSPITAL,20-27-10-026,09
5600,KATSINA,MASHI,TAMILO 'B',BUNDI JABE - K/G M/UNG.,20-27-11-001,520
5601,KATSINA,MASHI,TAMILO 'B',AFADU MANAWA - PRI.SCHOOL,20-27-11-002,737
5602,KATSINA,MASHI,TAMILO 'B',AFADU DOROYI - K/G A.ILA,20-27-11-003,723
5603,KATSINA,MASHI,TAMILO 'B',KILAGO - K/G M/UNG,20-27-11-004,644
5604,KATSINA,MASHI,TAMILO 'B',BUNU-BUNU - K/G M/UNG,20-27-11-005,460
5605,KATSINA,MASHI,TAMILO 'B',DANTANKARI - PRI.SCHOOL,20-27-11-006,867
5606,KATSINA,MASHI,TAMILO 'B',DANTANKARI GABAS - K/G M/UNG,20-27-11-007,511
5607,KATSINA,MASHI,TAMILO 'B',DANTANKARI  T/ZANA M/UNG,20-27-11-008,401
5608,KATSINA,MASHI,TAMILO 'B',DANTANKARI OPEN SPACE,20-27-11-009,17
5609,KATSINA,MATAZU,MATAZU 'A,COURT - COURT YARD,20-28-01-001,767
5610,KATSINA,MATAZU,MATAZU 'A,DISPENSARY - DISPENSARY,20-28-01-002,638
5611,KATSINA,MATAZU,MATAZU 'A,LAYIN GIMBA - OEPN SPACE,20-28-01-003,704
5612,KATSINA,MATAZU,MATAZU 'A,SHANTALAWA - OPEN SPACE,20-28-01-004,812
5613,KATSINA,MATAZU,MATAZU 'A,MALLAWAMAWA - OPEN SPACE,20-28-01-005,811
5614,KATSINA,MATAZU,MATAZU 'A,KASHA RUWA - KASHARUWA PRI.SCHOOL,20-28-01-006,298
5615,KATSINA,MATAZU,MATAZU 'A,GURU - GIDAN BABANGIDA,20-28-01-007,400
5616,KATSINA,MATAZU,MATAZU 'A,DAMACHI - GIDAN MAIUNG,20-28-01-008,378
5617,KATSINA,MATAZU,MATAZU 'A,TABOBI - TABOBI PRI.SCHOOL,20-28-01-009,302
5618,KATSINA,MATAZU,MATAZU 'A,GINCHAWA - GINCHAWA PRI.SCHOOL,20-28-01-010,790
5619,KATSINA,MATAZU,MATAZU 'A,KWANAR JAMMANI OPEN SPACE,20-28-01-011,984
5620,KATSINA,MATAZU,MATAZU 'A,KOFAR GIDAN LAWAL MAINAMA,20-28-01-012,514
5621,KATSINA,MATAZU,MATAZU 'A,TV ROOM  UNG MALAMAI,20-28-01-013,70
5622,KATSINA,MATAZU,MATAZU 'A,GINCHAWA  HAYIN MAI,20-28-01-014,00
5623,KATSINA,MATAZU,MATAZU 'A,KUDANCIN JAMMANI,20-28-01-015,95
5624,KATSINA,MATAZU,MATAZU 'B',MATAZU GARI - MODEL PRI.SCHOOL,20-28-02-001,1428
5625,KATSINA,MATAZU,MATAZU 'B',KOFAR GABAS - GINDIN DURUMI,20-28-02-002,848
5626,KATSINA,MATAZU,MATAZU 'B',KUDAWA - GIDAN MAL DAHE,20-28-02-003,1165
5627,KATSINA,MATAZU,MATAZU 'B',YARA - OPEN SPACE,20-28-02-004,909
5628,KATSINA,MATAZU,MATAZU 'B',KWAF DAYA - A.LADAN HOUSE,20-28-02-005,791
5629,KATSINA,MATAZU,MATAZU 'B',GALADIMA - FAGACHI HOUSE,20-28-02-006,830
5630,KATSINA,MATAZU,MATAZU 'B',BAMARABA/SALIHAWA - IBRAHIM HOUSE,20-28-02-007,809
5631,KATSINA,MATAZU,MATAZU 'B',TSAGAWA - TSAGAWA PRI.SCHOOL,20-28-02-008,330
5632,KATSINA,MATAZU,MATAZU 'B',DABAWA - MAIUNG HOUSE,20-28-02-009,273
5633,KATSINA,MATAZU,MATAZU 'B',MAZOJI FULANI - M/F PRI.SCHOOL,20-28-02-010,738
5634,KATSINA,MATAZU,MATAZU 'B',MAHUTA - GINDIN TSAMIYA,20-28-02-011,269
5635,KATSINA,MATAZU,MATAZU 'B',MATAZU GARI/MATAZU MODEL PRI.SCHOOL,20-28-02-012,497
5636,KATSINA,MATAZU,MATAZU 'B',KUDU (ASIBITI),20-28-02-013,322
5637,KATSINA,MATAZU,MATAZU 'B',GANJI/SHEMA  QUARTERS,20-28-02-014,144
5638,KATSINA,MATAZU,MATAZU 'B',ASIBITI  OPP  V.I. P,20-28-02-015,23
5639,KATSINA,MATAZU,MATAZU 'B',KOFAR GABAS GAMJI,20-28-02-016,38
5640,KATSINA,MATAZU,MATAZU 'B',GALADIMA,20-28-02-017,91
5641,KATSINA,MATAZU,MATAZU 'B',YAR  MAKERA,20-28-02-018,111
5642,KATSINA,MATAZU,MATAZU 'B',NASARAWA,20-28-02-019,170
5643,KATSINA,MATAZU,MATAZU 'B',BAMARABA,20-28-02-020,00
5644,KATSINA,MATAZU,MAZOJI 'A',SALIHAWA - WARD HEAD HOUSE,20-28-03-001,407
5645,KATSINA,MATAZU,MAZOJI 'A',UNG.GALADIMA - UNG TAMBAI PRI.SCHOOL,20-28-03-002,492
5646,KATSINA,MATAZU,MAZOJI 'A',YALWA - MAIUNG HOUSE,20-28-03-003,624
5647,KATSINA,MATAZU,MAZOJI 'A',BUKU - M/UNG HOUSE,20-28-03-004,620
5648,KATSINA,MATAZU,MAZOJI 'A',DUGUL - DUGUL PRI.SCHOOL,20-28-03-005,585
5649,KATSINA,MATAZU,MAZOJI 'A',PAPU - PAPU PRI.SCHOOL,20-28-03-006,1342
5650,KATSINA,MATAZU,MAZOJI 'A',KAKILAWA - M/UNG. HOUSE,20-28-03-007,348
5651,KATSINA,MATAZU,MAZOJI 'A',GIDAN DAWA - DANDALI OPEN SPACE,20-28-03-008,399
5652,KATSINA,MATAZU,MAZOJI 'A',MARUJI/NASARAWA  - M/UNG HOUSE,20-28-03-009,462
5653,KATSINA,MATAZU,MAZOJI 'A',YALWA GARI I - WARD H.HOUSE,20-28-03-010,515
5654,KATSINA,MATAZU,MAZOJI 'A',UNG. GANYE / UNG. GANYE (05),20-28-03-011,500
5655,KATSINA,MATAZU,MAZOJI 'A',RUMAWA,20-28-03-012,00
5656,KATSINA,MATAZU,MAZOJI 'A',PAPU - PRI - SCH,20-28-03-013,03
5657,KATSINA,MATAZU,MAZOJI 'B',MAZOJI GARI - MAZOJI PRI.SCHOOL,20-28-04-001,727
5658,KATSINA,MATAZU,MAZOJI 'B',BAREBARI - ADUL EDUC.CLASS,20-28-04-002,616
5659,KATSINA,MATAZU,MAZOJI 'B',TSADAWAM - TSADAWA PRI.SCHOOL,20-28-04-003,620
5660,KATSINA,MATAZU,MAZOJI 'B',UNG.DANJA/MUSA I - UNG DANJA PRI.SCHOOL,20-28-04-004,441
5661,KATSINA,MATAZU,MAZOJI 'B',BOKOLO - OPEN SPACE,20-28-04-005,579
5662,KATSINA,MATAZU,MAZOJI 'B',RUNKA - NEAR MARKET,20-28-04-006,600
5663,KATSINA,MATAZU,MAZOJI 'B',UNG DANJA/MUSA II - UNG DANJA PRI.SCHOOL,20-28-04-007,573
5664,KATSINA,MATAZU,MAZOJI 'B',SABON LAYI OPEN SPACE,20-28-04-008,532
5665,KATSINA,MATAZU,SAYAYA,SAYAYA GARI - S. PRI.SCHOOL,20-28-05-001,1283
5666,KATSINA,MATAZU,SAYAYA,SAURA - NEAR M.UNG,20-28-05-002,654
5667,KATSINA,MATAZU,SAYAYA,RADDAWA - RADDAWA PRI.SCHOOL,20-28-05-003,796
5668,KATSINA,MATAZU,SAYAYA,KOGON MAIDAWA - PRI.SCHOOL,20-28-05-004,646
5669,KATSINA,MATAZU,SAYAYA,SHEBAU - M/UNG HOUSE,20-28-05-005,359
5670,KATSINA,MATAZU,SAYAYA,KARACHI - M/UNG HOUSE,20-28-05-006,453
5671,KATSINA,MATAZU,SAYAYA,RIMIGARI - M/UNG HOUSE,20-28-05-007,881
5672,KATSINA,MATAZU,SAYAYA,BAKANE - BAKANE PRI.SCHOOL,20-28-05-008,526
5673,KATSINA,MATAZU,SAYAYA,ZAKIN BAURE - M/UNG HOUSE,20-28-05-009,653
5674,KATSINA,MATAZU,SAYAYA,BAURAJI 'A' - WARD HEAD HOUSE,20-28-05-010,437
5675,KATSINA,MATAZU,SAYAYA,TUGA - TUGA PRI.SCHOOL,20-28-05-011,560
5676,KATSINA,MATAZU,SAYAYA,FARIN TAFKI - PRI.SCHOOL,20-28-05-012,719
5677,KATSINA,MATAZU,SAYAYA,KAGARA WAJE - G/GWARZO PRI.SCHOOL,20-28-05-013,694
5678,KATSINA,MATAZU,SAYAYA,MAHARBA - PRI.SCHOOL,20-28-05-014,497
5679,KATSINA,MATAZU,SAYAYA,UNG KABA - WARD H. HOUSE,20-28-05-015,507
5680,KATSINA,MATAZU,SAYAYA,GANGULE - OPEN SPACE,20-28-05-016,397
5681,KATSINA,MATAZU,SAYAYA,KAGARA GARI - WARD HEAD HOUSE,20-28-05-017,601
5682,KATSINA,MATAZU,SAYAYA,BAURAJI 'A' WARD HEAD HOUSE,20-28-05-018,500
5683,KATSINA,MATAZU,SAYAYA,UNG. KOLE / UNG. KOLE,20-28-05-019,375
5684,KATSINA,MATAZU,SAYAYA,SAYAYA,20-28-05-020,02
5685,KATSINA,MATAZU,SAYAYA,RADDAWA,20-28-05-021,00
5686,KATSINA,MATAZU,SAYAYA,TSOHOWAR  ASIBITI  NUR,20-28-05-022,00
5687,KATSINA,MATAZU,KOGARI,KOGARI GARI - KOGARI PRI.SCHOOL,20-28-06-001,798
5688,KATSINA,MATAZU,KOGARI,UNG. GALADIMA - KAN DUTSE,20-28-06-002,620
5689,KATSINA,MATAZU,KOGARI,KATUN - KATUN PRI.SCHOOL,20-28-06-003,421
5690,KATSINA,MATAZU,KOGARI,UNG SARKA- PRI.SCHOOL,20-28-06-004,642
5691,KATSINA,MATAZU,KOGARI,TSAKUWA/SAYYA - BAKIN TAFKI,20-28-06-005,708
5692,KATSINA,MATAZU,KOGARI,DAURAWA - FAKON MAILALLE,20-28-06-006,721
5693,KATSINA,MATAZU,KOGARI,FADUMAWA - GURGU/SANTA ALA,20-28-06-007,416
5694,KATSINA,MATAZU,KOGARI,KOGARI GARI II - PRI.SCHOOL,20-28-06-008,671
5695,KATSINA,MATAZU,KOGARI,KOGARI - GARI,20-28-06-009,01
5696,KATSINA,MATAZU,GWARJO,GWARJO GARI - GWARJO PRI.SCHOOL,20-28-07-001,934
5697,KATSINA,MATAZU,GWARJO,GIDAN IMA - WARD H. HOUSE,20-28-07-002,738
5698,KATSINA,MATAZU,GWARJO,ILALI - ILALI PRI.SCHOOL,20-28-07-003,602
5699,KATSINA,MATAZU,GWARJO,JINFIN NOMAU - M/UNG HOUSE,20-28-07-004,805
5700,KATSINA,MATAZU,GWARJO,GADI - GADI PEI.SCHOOL,20-28-07-005,510
5701,KATSINA,MATAZU,GWARJO,UNG TANIMU - WARD H. HOUSE,20-28-07-006,636
5702,KATSINA,MATAZU,GWARJO,KOFAR FADA - T.V ROOM,20-28-07-007,764
5703,KATSINA,MATAZU,GWARJO,YAR UNGUWA - WARD H. HOUSE,20-28-07-008,307
5704,KATSINA,MATAZU,GWARJO,UNG ILIYA - OEPN SPACE,20-28-07-009,615
5705,KATSINA,MATAZU,GWARJO,GWARJO GARI / OPEN SPACE,20-28-07-010,629
5706,KATSINA,MATAZU,GWARJO,ILALI/BAKIN YARA,20-28-07-011,237
5707,KATSINA,MATAZU,GWARJO,GWARJO  GARI,20-28-07-012,01
5708,KATSINA,MATAZU,GWARJO,NOMAU,20-28-07-013,00
5709,KATSINA,MATAZU,GWARJO,KOFAR FADA,20-28-07-014,00
5710,KATSINA,MATAZU,KARADUWA,KARADUWA GARI - KARADUWA PRI.SCHOOL,20-28-08-001,647
5711,KATSINA,MATAZU,KARADUWA,KUKA WAINA - PRI.SCHOOL,20-28-08-002,765
5712,KATSINA,MATAZU,KARADUWA,UNG. ALTI - NEAR M/UNG HOUSE,20-28-08-003,230
5713,KATSINA,MATAZU,KARADUWA,KAGADAMA - KAGADAMA PRI.SCHOOL,20-28-08-004,849
5714,KATSINA,MATAZU,KARADUWA,YAR TSAMIYA - YARTSAMIYA PRI.SCHOOL,20-28-08-005,814
5715,KATSINA,MATAZU,KARADUWA,UNG MAIYAJI - M/UNG PRI.SCHOOL,20-28-08-006,631
5716,KATSINA,MATAZU,KARADUWA,NASARAWA YAMMA - OPEN SPACE,20-28-08-007,389
5717,KATSINA,MATAZU,KARADUWA,KARADUWA T.V - T.V ROOM,20-28-08-008,606
5718,KATSINA,MATAZU,KARADUWA,DOGUWAR TSAMIYA - M/UNG HOUSE,20-28-08-009,543
5719,KATSINA,MATAZU,KARADUWA,SABON LAYI/SABON LAYI,20-28-08-010,317
5720,KATSINA,MATAZU,KARADUWA,ADUWA/ OPEN SPACE,20-28-08-011,305
5721,KATSINA,MATAZU,KARADUWA,KUKA  WAINA,20-28-08-012,00
5722,KATSINA,MATAZU,KARADUWA,KAGADAMA,20-28-08-013,00
5723,KATSINA,MATAZU,KARADUWA,DAN MARKE,20-28-08-014,02
5724,KATSINA,MATAZU,DISSI,DISSI GARI - DISSI PRI.SCHOOL,20-28-09-001,794
5725,KATSINA,MATAZU,DISSI,FARAS - FARAS PRI.SCHOOL,20-28-09-002,612
5726,KATSINA,MATAZU,DISSI,UNG SUKOLA - DANBANGA PRI.SCHOOL,20-28-09-003,664
5727,KATSINA,MATAZU,DISSI,GIDAN GWAURO - RUMFAR BOKA,20-28-09-004,796
5728,KATSINA,MATAZU,DISSI,JATAKA - T.V ROOM,20-28-09-005,740
5729,KATSINA,MATAZU,DISSI,RINGI GORA - OPEN SPACE,20-28-09-006,682
5730,KATSINA,MATAZU,DISSI,SHIRASHIRI OPEN SPACE,20-28-09-007,685
5731,KATSINA,MATAZU,DISSI,DISSI PRI  SCHOOL,20-28-09-008,01
5732,KATSINA,MATAZU,DISSI,UNG  MALLAM LAWAL,20-28-09-009,00
5733,KATSINA,MATAZU,RINJIN IDI,RINJI IDI GARI - PRI.SCHOOL,20-28-10-001,1361
5734,KATSINA,MATAZU,RINJIN IDI,SABON GARI - ADAMU PRI.SCHOOL,20-28-10-002,729
5735,KATSINA,MATAZU,RINJIN IDI,KARAWO - DANWALI,20-28-10-003,695
5736,KATSINA,MATAZU,RINJIN IDI,JUMAWA - M/UNG HOUSE,20-28-10-004,514
5737,KATSINA,MATAZU,RINJIN IDI,UNG BAWA - OPEN SPACE,20-28-10-005,363
5738,KATSINA,MATAZU,RINJIN IDI,GYAZAWA - OPEN SPACE,20-28-10-006,481
5739,KATSINA,MATAZU,RINJIN IDI,RINJIN IDI GARI,20-28-10-007,04
5740,KATSINA,MATAZU,RINJIN IDI,ASIBITI,20-28-10-008,12
5741,KATSINA,MUSAWA,MUSAWA,MUSAWA GARI I  / YERO PRI.SCHOOL,20-29-01-001,2030
5742,KATSINA,MUSAWA,MUSAWA,GAREWA I - YERO PRI.SCHOOL,20-29-01-002,1348
5743,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE 'A'I - USMAN  LIMAN.PRI.SCHOOL,20-29-01-003,1014
5744,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE 'B' -I  USMAN  LIMAN.PRI.SCHOOL,20-29-01-004,1057
5745,KATSINA,MUSAWA,MUSAWA,TSARIKA - TSARIKA PRI.SCHOOL,20-29-01-005,645
5746,KATSINA,MUSAWA,MUSAWA,RUGAR KUSA - PRI.SCHOOL,20-29-01-006,795
5747,KATSINA,MUSAWA,MUSAWA,KURU - KURU PRI.SCHOOL,20-29-01-007,549
5748,KATSINA,MUSAWA,MUSAWA,GADANGA - NEAR MAI UNGU.HOUSE,20-29-01-008,251
5749,KATSINA,MUSAWA,MUSAWA,FARING-DUTSE - F/DUTSE PRI.SCHOOL,20-29-01-009,569
5750,KATSINA,MUSAWA,MUSAWA,ALJIYAWA - ALIJIYAWA,20-29-01-010,381
5751,KATSINA,MUSAWA,MUSAWA,SHIRA-SHIRI - K/G ALH.RABE,20-29-01-011,513
5752,KATSINA,MUSAWA,MUSAWA,MUSAWA GARI II - YERO PRI.SCHOOL,20-29-01-012,999
5753,KATSINA,MUSAWA,MUSAWA,GAREWA II - YERO PRI.SCHOOL,20-29-01-013,799
5754,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE AII - USMAN LIMAN. PRI.SCHOOL,20-29-01-014,918
5755,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE B' II - USMAN LIMAN. PRI.SCHOOL,20-29-01-015,895
5756,KATSINA,MUSAWA,MUSAWA,MUSAWA GARI YERO P.S,20-29-01-016,32
5757,KATSINA,MUSAWA,MUSAWA,MUSAWA GARI YERO P.S,20-29-01-017,91
5758,KATSINA,MUSAWA,MUSAWA,MUSAWA GARI YERO P.S,20-29-01-018,41
5759,KATSINA,MUSAWA,MUSAWA,GAREWA I YERO PRI.SCH,20-29-01-019,79
5760,KATSINA,MUSAWA,MUSAWA,GAREWA I YERO PRI.SCH,20-29-01-020,58
5761,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE A I PRIMARY SCHOOL,20-29-01-021,07
5762,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE B I PRIMARY SCHOOL,20-29-01-022,10
5763,KATSINA,MUSAWA,MUSAWA,RUGAR KUSA PRI SCHOOL,20-29-01-023,01
5764,KATSINA,MUSAWA,MUSAWA,MUSAWA GARI II YERO PRI SCH,20-29-01-024,20
5765,KATSINA,MUSAWA,MUSAWA,GAREWA II YERO PRI.SCH,20-29-01-025,129
5766,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE A II USMAN LIMAN P.S,20-29-01-026,43
5767,KATSINA,MUSAWA,MUSAWA,RUGAR WAJE B II USMAN LIMAN P.S,20-29-01-027,59
5768,KATSINA,MUSAWA,JIKAMSHI,MARMACHI 'A' - JIKAMSHI PRI.SCHOOL,20-29-02-001,1222
